date,A000020,A000040,A000050,A000060,A000070,A000080,A000100,A000120,A000140,A000150,A000180,A000210,A000220,A000230,A000240,A000250,A000270,A000300,A000320,A000370,A000390,A000400,A000430,A000440,A000480,A000490,A000500,A000520,A000540,A000590,A000640,A000650,A000660,A000670,A000680,A000700,A000720,A000760,A000810,A000850,A000860,A000880,A000890,A000910,A000950,A000970,A000990,A001000,A001020,A001040,A001060,A001070,A001080,A001120,A001130,A001140,A001200,A001210,A001230,A001250,A001260,A001270,A001290,A001340,A001360,A001380,A001390,A001420,A001430,A001440,A001450,A001460,A001470,A001500,A001510,A001520,A001530,A001540,A001550,A001560,A001570,A001620,A001630,A001680,A001720,A001740,A001750,A001770,A001780,A001790,A001800,A001810,A001820,A001840,A001880,A001940,A002020,A002030,A002070,A002100
2015-01-16,5640,6536,17100,12450,87200,22500.0,27999,182000,11450,79167,1858,55300,8060,14559,25200,10150.0,52000,1230,24000,4194,14250,2346,5820,4620,107500,9900,22100,5298,4230,81600,119000,51600,47450,1355000,3655,9460,36400,13000,286000,63600,50200,28502,1115,4095,34800,5210,4510,1494,13775,155117,12595,7520,16250,30700,155000,1289,1885,18840,5730,5660,69976,16150,1054,2106,1989,1385,17900,2305,28450,6000,26250,252500,26500,9990,799,950,66831,12300.0,11800,7020.0,1305,2037,59300,32500,52400,8380,6800,12281,4545.0,24600,48975,2525,3780,3990,14600,9470,24900,145500,3266,4700
2015-01-19,5680,6505,16900,12500,87700,22400.0,28335,182000,11650,79561,1858,57300,8160,14605,25550,9970.0,51500,1240,23250,4218,13650,2351,5970,4720,108500,9910,21550,5317,4190,81500,115500,50900,47000,1402000,3630,9670,37900,13650,283000,63800,48600,28502,1120,4105,34900,5290,4450,1718,13416,155117,12464,7400,16250,30500,154000,1314,1900,19633,5790,5681,69976,16250,1055,2093,2099,1430,18500,2300,29900,6000,25950,252500,28000,10000,797,938,66372,12200.0,11750,7050.0,1320,2071,60000,33000,51600,8530,6850,11658,5190.0,24700,48975,2525,3775,4120,14600,9460,25450,145000,3274,4720
2015-01-20,5600,6505,16650,12400,89000,23350.0,28503,179000,11850,80742,1872,56500,8410,15152,25100,9960.0,51900,1235,24100,4110,15150,2346,5990,4800,109000,9880,21800,5317,4205,80300,115000,51000,47050,1397000,3600,10250,39150,13750,279000,64800,49550,28648,1135,4100,35400,5300,4520,1718,13624,159832,12420,7440,16250,31400,151500,1289,1900,20922,5770,5674,69976,16200,1053,2093,2091,1500,18400,2280,29000,6000,25800,250000,27700,10200,804,966,66556,14000.0,11600,6900.0,1315,2075,59100,32200,53000,8060,6890,11658,4525.0,24300,50007,2530,3720,4005,15450,9440,24950,146000,3266,4680
2015-01-21,5610,6322,16900,12350,88100,22950.0,28419,176000,11750,80349,2000,55000,9100,15289,24950,9880.0,50300,1220,24850,4208,15800,2338,6010,5000,108000,9730,21800,5260,4240,78200,111500,49900,48050,1429000,3600,10100,38950,15800,289500,65700,50100,27432,1145,4130,39450,5160,4450,1974,13341,161718,12202,8000,16250,33250,152500,1260,1865,21418,5590,5560,69976,15750,1046,2071,2183,1525,18350,2310,30000,6000,25350,248500,27050,9970,792,944,66556,14050.0,11650,6900.0,1315,2067,59600,34450,54800,7590,6850,12726,4640.0,24600,51677,2575,3700,4120,15400,9540,24400,146000,3287,4720
2015-01-22,5550,6292,17400,12300,88200,22850.0,28419,172000,11700,83106,2010,56700,8730,15152,25350,10350.0,50200,1205,24250,4208,15100,2338,6110,5000,109500,9800,22300,5231,4175,78200,110500,49400,47000,1432000,3600,9850,40300,18150,290000,65600,49700,27918,1095,4265,37650,5600,4405,2270,13964,158889,11939,8000,16550,33200,158000,1210,1865,20922,5650,5574,69976,15050,1046,2080,2188,1550,17500,2270,30000,6000,25100,251000,26500,10050,791,934,66188,13500.0,11350,7030.0,1330,2033,59700,35050,54700,7770,6770,12503,4645.0,24150,51824,2525,3750,4040,14850,9550,24100,145500,3270,4720
2015-01-23,5600,6292,17600,12200,89500,23100.0,28251,175000,11550,82318,2084,53400,8830,15198,25150,10300.0,49250,1220,23600,4311,14450,2333,6160,4960,111000,9740,23600,5250,4180,78900,108500,49300,47500,1406000,3595,10000,41200,20850,293000,66600,50800,27870,1080,4245,40200,5500,4380,2610,13586,160304,12158,8340,16750,33750,158500,1210,1885,22707,5520,5610,69976,15750,1041,2044,2310,1550,18000,2315,30250,6000,25100,251000,26350,10300,808,910,65728,13400.0,11350,6980.0,1280,2058,57800,35400,55400,7700,6880,12192,4510.0,24250,51677,2570,3735,4040,14900,9550,24150,149000,3261,4820
2015-01-26,5610,6505,17350,12200,89500,23000.0,28083,177000,11600,82318,2108,53600,8890,14924,25100,10900.0,46450,1270,23550,4208,15200,2291,6030,4990,111500,9830,23950,5145,4150,80800,105500,49450,48250,1389000,3590,9990,42300,23950,299000,64500,50800,27918,1090,4225,42700,5530,4370,3000,13530,163604,12070,8400,17100,33950,161000,1388,1885,23252,5450,5582,69976,16700,1041,2022,2449,1615,17650,2325,29750,6000,24900,250500,26250,10050,816,930,65636,13400.0,11150,7130.0,1270,2037,56300,37200,55000,7900,6870,13571,4580.0,24250,52021,2540,3700,3900,14550,9450,23400,144000,3270,5090
2015-01-27,5570,6536,17250,12200,90000,23450.0,28335,178000,11800,83893,2138,54500,8770,14696,25200,11250.0,45400,1250,23400,4189,15200,2286,6100,5020,111500,9900,24250,5308,4115,81700,112000,50000,49150,1406000,3625,10700,42400,20600,310500,65100,53700,27286,1075,4235,41300,5370,4355,3450,13643,165961,12070,8310,18000,33900,165000,1334,1895,22756,5470,5539,69976,16400,1023,2040,2462,1620,17400,2305,30300,6000,25500,250000,26550,10100,820,924,66372,13350.0,11400,7130.0,1295,2100,57300,37450,56300,8230,6920,12993,4230.0,24700,52807,2570,3740,3825,15500,9590,23500,144500,3433,4915
2015-01-28,5550,6628,17300,12200,95100,23150.0,28335,187000,11600,84681,2123,57000,8760,15152,24850,11400.0,46000,1255,23350,4135,14950,2286,6090,5000,109000,9910,24150,5317,4105,81400,116500,49500,49200,1406000,3655,11550,44100,19350,316500,65700,54200,27335,1065,4205,41150,5400,4595,2940,13775,165961,12070,8060,17900,33900,171000,1343,1925,22756,5680,5582,69976,16100,1015,2089,2428,1660,17200,2325,30950,6000,25150,253000,26750,10150,832,924,66464,13200.0,11750,7300.0,1350,2109,57600,38100,55000,8170,7030,12014,4285.0,24800,50792,2565,3855,3965,15550,9520,24100,145500,3404,4910
2015-01-29,5600,6536,17400,12200,92400,23250.0,28251,184000,11650,83106,2157,55300,8840,15198,25700,11200.0,46650,1250,23650,4130,14700,2303,6070,4740,107500,9910,23700,5308,4025,80000,118500,50000,47400,1413000,3625,11100,44150,19050,317500,65500,53600,26605,1060,4360,39500,5410,4635,3380,13605,160775,12158,8120,17900,33650,168000,1392,2040,22211,5670,5546,69976,16750,1167,2084,2441,1640,17200,2340,32650,6000,25800,256500,28000,10150,828,952,66831,13000.0,11800,7300.0,1345,2172,56900,37300,55900,8560,7400,11836,4100.0,24900,51087,2575,3830,3890,15400,9520,23200,142500,3299,4910
2015-01-30,5980,6444,16700,12200,94600,23250.0,28755,191500,11550,81924,2089,55000,8800,15335,25200,10850.0,46000,1245,22900,4096,15000,2299,6260,4680,109000,10300,24950,5336,4005,80400,125500,50600,47650,1422000,3590,11000,43650,18300,295000,64900,54800,26654,1065,4280,39000,5430,4975,3880,13737,162661,12289,8190,17900,36750,166000,1380,2080,22211,5600,5560,69976,16850,1290,2098,2753,1565,16800,2370,31850,6000,26100,262000,29450,10250,879,974,66464,12900.0,11550,7300.0,1345,2185,59200,38050,56200,9410,7390,11836,4240.0,25000,51578,2585,3930,3990,16000,9480,22600,143000,3349,4940
2015-02-02,5910,6383,15700,12200,92500,23400.0,28503,191000,11550,81924,2098,57100,8780,14970,24450,10900.0,46550,1250,23550,4086,14750,2321,6010,4720,111500,10400,25200,5356,4050,78500,120000,49600,46600,1415000,3620,10750,44300,17800,299000,66100,53300,26800,1055,4280,40200,5400,5050,3550,13907,159361,12158,8240,17850,36800,167000,1268,2125,21963,5680,5695,69976,16650,1483,2080,2672,1580,17100,2380,32250,6000,25350,274500,28850,10150,921,977,66004,13250.0,11700,7640.0,1345,2134,61200,37800,55500,9290,7720,11480,4270.0,24500,51480,2565,3890,3880,15950,9390,22650,143500,3375,4970
2015-02-03,5930,6383,16500,12400,93400,23450.0,28335,200000,11400,84681,2182,57100,8780,15061,23950,10750.0,45400,1250,23250,4091,14400,2312,6030,4710,103000,10600,24850,5394,4140,78500,121000,49450,46700,1402000,3620,10800,42950,17750,294500,66300,52600,26216,1065,4350,40100,5470,5030,4080,13813,163133,12377,8800,17700,37700,166000,1247,2130,21765,5710,5774,69976,16650,1620,2093,2546,1560,17150,2405,32200,6000,25600,282000,33150,10150,895,997,67659,12850.0,11500,7620.0,1325,2100,61500,37300,54600,9090,7550,11346,4200.0,24250,51382,2550,3855,3810,15750,9380,22600,140000,3383,4970
2015-02-04,5890,6444,17150,12400,93500,23500.0,29176,194500,11550,87044,2192,58100,8830,15152,24400,10800.0,46000,1270,22900,4086,14650,2346,6030,4800,102000,10700,24900,5480,4125,79900,119500,49350,47300,1396000,3670,10450,43600,18300,296500,66600,52200,26702,1075,4350,39800,6230,5090,4690,13756,167376,12333,9400,17900,37700,170500,1264,2090,22360,5830,5823,69976,16550,1645,2098,2698,1590,16900,2460,32750,6000,26000,280000,35000,10150,897,994,67935,12700.0,11500,7650.0,1345,2134,62400,39150,55500,9280,7550,11613,4415.0,24350,52119,2550,3980,3875,15400,9470,22750,142000,3316,4990
2015-02-05,5890,6536,17300,12500,94900,23250.0,29428,199000,11650,91377,2182,57700,9350,15016,25350,11250.0,45350,1335,22800,4042,14650,2441,6000,4730,103000,10550,24950,5480,4165,78400,119500,50700,47150,1381000,3690,10950,43650,17800,296000,67200,51600,26119,1070,4350,41700,7160,5100,5390,13964,165490,12289,10000,18250,38100,171500,1276,2070,21467,5830,5766,69976,17000,1645,2129,2900,1590,17000,2400,33250,6000,26150,281000,32650,10050,907,1010,71152,12900.0,11450,7650.0,1375,2278,63300,39300,55100,9210,7440,11613,4370.0,24400,51480,2550,3970,3885,15350,9490,22500,141000,3316,5100
2015-02-06,5980,6566,17350,12450,94300,23500.0,29596,195500,11600,92952,2148,57800,9660,15518,25000,11300.0,44500,1330,22700,4061,13950,2441,6070,4740,102500,10800,24700,5461,4100,80500,119500,51700,45500,1377000,3690,10400,42850,17700,293000,68300,53100,27140,1115,4360,42050,7410,5080,5390,14058,169262,12551,9930,18000,38550,171500,1276,2070,21913,5870,5795,69976,16650,1589,2223,2887,1590,16800,2440,33100,6000,26150,282500,31750,10050,920,1030,72071,13350.0,11550,7990.0,1355,2269,61300,39600,55100,9050,7490,11791,4340.0,24500,51431,2620,3990,3915,15050,9460,23550,138500,3354,5100
2015-02-09,5940,6414,17300,12450,93700,23550.0,29849,193500,11750,93346,2113,57500,9640,17845,25250,10450.0,43200,1310,22450,4003,13550,2411,5980,4710,104500,10950,24200,5451,4175,80100,117500,52000,45200,1381000,3670,10000,44050,19100,290000,69100,53100,26556,1155,4300,40000,7420,5030,6190,14058,171619,12858,9930,18200,38800,172000,1293,2050,21765,5860,5759,69976,16350,1483,2258,2921,1540,16350,2425,33200,6000,26200,281000,29500,10000,904,1015,71060,13400.0,11500,7970.0,1370,2210,61500,38350,55800,8910,7440,11969,4045.0,24600,50842,2655,3860,3860,14400,9440,23750,138000,3341,4955
2015-02-10,5930,6353,17300,12550,93200,23150.0,29596,189000,11800,92165,2064,56400,9280,18347,24250,10600.0,43500,1350,22100,3988,14050,2398,6000,4760,102500,10550,24050,5489,4160,82000,115500,52300,45150,1374000,3670,9500,44100,20050,288000,69000,53500,26459,1095,4205,38800,7550,5130,7110,13681,172091,12814,9940,18250,38300,173500,1326,2010,22360,5920,5752,69976,16400,1526,2240,2677,1455,16000,2435,33400,6000,25750,285000,30000,9910,888,1020,71704,13100.0,11400,7960.0,1420,2248,60800,38750,55800,8790,7420,13749,4110.0,25050,49368,2585,3780,3855,14450,9270,23300,138000,3354,4940
2015-02-11,6010,6963,17200,12550,92000,22850.0,29512,196000,12000,92165,2059,57300,9330,18484,24850,10850.0,44000,1330,22300,3983,14100,2428,6000,4850,102000,10750,24150,5442,4155,84600,117500,52400,46850,1361000,3725,9480,43900,19250,293500,67700,55800,26751,1205,4235,39900,7660,5300,6080,13756,168319,12901,10220,18300,39350,172500,1525,2050,22905,5850,5688,69976,16450,1458,2240,2854,1470,16400,2475,32500,6000,25650,283500,30450,10000,893,1075,71428,13700.0,11300,7900.0,1520,2172,59100,38350,55200,8720,7480,14728,4700.0,25050,48336,2560,3810,3900,14850,9230,23600,139000,3362,4950
2015-02-12,6000,7483,17450,12450,89700,22850.0,29092,197000,11800,93346,2103,55100,9150,18028,24800,10650.0,44200,1285,21800,4003,14200,2415,6020,4980,103000,10750,24050,5442,4090,85900,114000,52500,46650,1375000,4065,9540,42300,19250,292000,67800,55000,26556,1230,4135,39550,7660,5820,6990,13718,167376,12901,10400,18550,37800,174500,1492,2005,23054,5700,5574,69976,16800,1364,2205,2824,1450,16450,2470,33600,6000,25850,295000,29500,9900,876,1085,71152,13700.0,11500,7990.0,1460,2155,59500,38500,55500,8550,7300,13794,4650.0,25150,49859,2700,3845,3805,15250,9240,23800,141000,3526,4955
2015-02-13,6000,7116,17600,12550,91600,23100.0,29344,199500,12300,92165,2113,55700,9090,18256,25400,10950.0,45000,1285,21800,3978,13900,2415,6050,5000,102500,10750,24900,5585,4055,87800,116500,57500,47050,1370000,4030,9410,42700,19500,285000,67500,54000,26313,1190,4105,40400,7870,5770,8030,13869,169262,13076,10480,18800,37700,175000,1388,2020,22905,5740,5582,69976,16800,1371,2205,2963,1440,17000,2430,33750,6000,25850,298000,29100,10100,897,1140,71152,13850.0,11450,8290.0,1510,2227,58500,38850,55100,8500,7400,14239,4755.0,25050,50547,2665,3820,3790,15600,9170,24250,141000,3471,5060
2015-02-16,6160,7055,17400,12500,92200,22650.0,29008,195000,12450,95709,2123,56100,9500,18758,25350,10550.0,45050,1275,21800,3978,13800,2543,6050,5500,103500,10750,24950,5518,4090,85900,118500,66100,47500,1367000,4030,9420,44100,19300,292500,66400,52600,26167,1190,4055,40650,7710,5860,9230,13586,168319,13557,10920,18700,38000,171500,1596,2040,21814,5790,5624,69976,16900,1358,2267,3187,1435,16950,2395,33200,6000,26100,304000,28700,10150,916,1165,72163,13500.0,13150,8290.0,1530,2231,57500,38800,55500,8670,7540,14550,4935.0,24850,49466,2665,3870,3790,15650,9400,24750,145000,3991,5150
2015-02-17,6080,7269,17050,12600,92800,23000.0,29008,200000,12000,98466,2118,57000,9580,18347,25050,10500.0,45750,1290,21900,4101,13500,2548,6260,6320,106500,10750,24700,5375,4070,87000,121500,66000,46450,1363000,4070,9340,45300,18450,261500,66000,53300,26848,1175,4080,43050,8000,5800,9230,13379,169262,13251,11920,18800,38000,172500,1658,2025,22260,5820,5638,69976,17050,1296,2254,2959,1455,16850,2510,33500,6000,26750,305500,29000,10400,914,1160,75749,13600.0,15100,8290.0,1465,2244,59900,37500,54400,8520,7550,13794,5240.0,25100,50056,2705,3910,3835,15150,9570,26650,147000,4570,5180
2015-02-23,6130,7299,17400,12800,92400,23100.0,29092,181500,11950,94922,2216,57300,9520,18530,24250,10700.0,46250,1320,22050,4208,13600,2929,6230,7260,107500,10700,24700,5365,4120,87900,118500,61500,47200,1373000,4080,9030,46700,19200,259000,66000,52800,27189,1265,4100,44300,7590,5780,7850,13416,168790,13251,12840,20000,38250,169500,1521,2025,21666,5810,5617,69976,17000,1339,2263,2833,1670,16950,2540,34250,6000,27200,307000,29850,10400,917,1220,76576,14100.0,14600,8280.0,1465,2261,60800,38950,55200,8590,7600,12859,5250.0,25000,50449,2685,3915,3790,15750,9510,26400,148000,5240,5190
2015-02-24,6300,7758,17400,12800,91100,22900.0,29176,180000,12200,97679,2211,55100,9440,18210,24400,10500.0,46300,1335,22350,4150,14150,2954,6170,6200,108000,10900,24750,5442,4120,86400,120000,56600,47600,1365000,4050,9520,46750,22050,256500,68400,53800,27821,1270,4200,43700,7870,5920,6680,13454,163133,13470,12860,20050,38450,173500,1583,2040,21814,5780,5731,69976,17250,1333,2258,3001,1820,17250,2500,34050,6000,27100,309500,29650,10500,910,1220,75840,13950.0,15000,8380.0,1455,2261,62500,39100,55900,9160,7660,13126,5150.0,25450,49417,2665,3995,3845,15250,9790,28100,146500,5157,5100
2015-02-25,6250,7666,17600,13000,91500,23200.0,29512,182500,12100,96497,2202,57900,9280,18210,24400,10150.0,46550,1360,22600,4272,14050,3023,6250,5930,109000,10800,24800,5432,4125,85400,118500,59500,46500,1368000,4055,9540,48450,22100,256500,68700,53400,27821,1250,4295,42000,8300,6230,7680,13643,163133,13426,13000,20450,37150,175000,1513,2115,20724,6140,5766,69976,17850,1533,2258,3035,1725,17000,2495,34050,6000,27400,309500,29800,10750,965,1320,76024,13350.0,13700,8160.0,1460,2244,61100,38300,58000,9110,7720,13705,5130.0,26150,48140,2705,4030,3890,16600,9800,28200,147000,5869,5100
2015-02-26,6270,7880,17000,13300,90900,23000.0,29092,178000,12200,96103,2251,64700,9200,18393,24600,10100.0,46300,1275,22300,4287,14500,3014,6100,5620,107000,10750,24750,5461,4145,86300,123000,58500,47100,1358000,4055,9250,50000,21500,252500,68100,55100,30302,1275,4310,41750,8400,6100,8830,14039,159361,13120,12400,20150,38500,177000,1492,2150,20773,6220,5823,69976,17900,1483,2205,2989,1765,17250,2505,34750,6000,27450,306000,30900,10800,975,1365,76668,13700.0,13050,9120.0,1495,2295,60900,37050,58900,9350,7710,13482,5680.0,26250,45880,2720,4040,3890,18350,9990,28650,149500,5408,5110
2015-02-27,6250,8307,17100,13100,90400,22850.0,28755,181000,12000,94134,2251,64800,9400,17845,23700,10250.0,45500,1280,22700,4370,14050,3014,6100,5390,107500,10600,24900,5566,4125,87900,120000,57500,46600,1343000,4050,9600,49400,20000,255000,68700,55700,29767,1270,4420,41950,8750,6220,7650,14228,163604,13120,12440,19950,37100,179000,1442,2185,21021,6320,5731,69976,17850,1489,2231,3052,1720,17200,2520,34700,6000,27250,304500,30750,10800,970,1390,76116,14200.0,13100,8440.0,1515,2358,61000,37350,59900,9450,7740,12948,5600.0,26300,47354,2765,4045,3885,19800,9880,27900,147000,4863,5010
2015-03-02,6240,8246,16800,12650,88400,22900.0,29008,173000,12100,97285,2265,68600,9170,17115,23350,10200.0,45500,1315,22900,4605,13800,3019,6070,5370,103500,10200,25150,5556,4080,86800,121000,60400,46850,1324000,4170,9490,53900,19600,246500,67600,53500,31323,1245,4610,42250,9050,6180,7720,14115,154174,13470,12000,20600,36250,183000,1413,2195,21517,6420,5802,69976,18800,1501,2205,3035,1590,17550,2500,33450,6000,27050,293000,35350,10800,979,1415,76208,14200.0,13350,8410.0,1485,2337,60600,36350,61000,9190,7760,12993,5240.0,25900,47649,2780,4150,4025,22350,9880,27600,154500,4486,5020
2015-03-03,6350,8766,16750,12650,88400,22900.0,29260,175000,12200,96497,2251,67900,9140,16385,24000,10300.0,46700,1335,22650,4614,13900,2967,6030,5560,104500,10350,25050,5623,4065,85900,122500,60300,47300,1326000,4165,9820,53000,22500,253500,66700,54000,31274,1265,4595,42050,9180,6500,6570,14454,156532,13382,12160,20400,36600,178500,1459,2195,21021,6570,5823,69976,18550,1414,2205,3027,1620,18250,2520,33100,6000,26950,296500,37450,11000,961,1430,75840,15000.0,13250,8310.0,1485,2311,62200,36750,60100,9220,7680,14906,5340.0,26100,47698,2795,4190,3995,21700,10100,27300,154000,4612,5010
2015-03-04,6300,8827,17500,12750,86900,22950.0,29512,171500,12350,95316,2241,67400,9210,16248,23700,10400.0,46750,1315,22400,4580,14350,2993,5990,5610,105000,10300,25100,5499,4090,84900,124000,62800,45900,1279000,4180,9900,52900,25850,255500,67800,53500,30642,1265,4490,41600,8970,6460,7550,14586,153703,12989,12260,21000,36450,182500,1438,2160,20525,6330,5781,69976,18200,1364,2187,3035,1645,18000,2580,34250,6000,26600,296000,35050,10900,946,1420,75381,14950.0,13550,8290.0,1470,2320,61800,37000,59200,9190,7620,14817,5450.0,26050,47992,2825,4270,4060,20700,10120,28350,150500,4842,5000
